id_paper,id_group,id_proc,paper_first_author,paper_year,paper_journal,pop_group_clinical,pop_group_demographic,recruitment_period,country,location,urban_rural,geographic_scope,study_design,recruitment_setting,refusal_rate_percent,missing_data_percent,treated,vaccinated,hiv_coinfection,other_infection,study_link,study_details,dp_period,age_min_years,age_max_years,age_mean_years,age_sd_years,age_median_years,age_iqr_years,age_distribution_years,sex,proportion_male,hbeag_positive_prop,hbeag_positive_prop_ci_lower,hbeag_positive_prop_ci_upper,sample_size,dp_details,processing_notes
V9,4,a,Whittle,1995,The Lancet,Chronic HBV carriers,Children,1990-1991,Gambia,Nationwide,Mixed,National,Cohort,Community-based,NR,NR,No,No,NR,NR,GHIS,NA,1993,3,4,NR,NA,NR,NA,NR,Mixed,NR,0.75,NR,NR,75,NA,NA
V9,4,b,Whittle,1995,The Lancet,Chronic HBV carriers,"Children, young adults, adults",1974-1992,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,NR,No,No,NR,NR,KM cohort of chronic carriers,NA,1993,5,9,NR,NA,NR,NA,NR,Mixed,NR,0.41,NR,NR,17,NA,NA
V9,4,b,Whittle,1995,The Lancet,Chronic HBV carriers,"Children, young adults, adults",1974-1992,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,NR,No,No,NR,NR,KM cohort of chronic carriers,NA,1993,10,14,NR,NA,NR,NA,NR,Mixed,NR,0.37,NR,NR,50,NA,NA
V9,4,b,Whittle,1995,The Lancet,Chronic HBV carriers,"Children, young adults, adults",1974-1992,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,NR,No,No,NR,NR,KM cohort of chronic carriers,NA,1993,15,24,NR,NA,NR,NA,NR,Mixed,NR,0.23,NR,NR,52,NA,NA
V9,4,b,Whittle,1995,The Lancet,Chronic HBV carriers,"Children, young adults, adults",1974-1992,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,NR,No,No,NR,NR,KM cohort of chronic carriers,NA,1993,25,34,NR,NA,NR,NA,NR,Mixed,NR,0.22,NR,NR,25,NA,NA
V9,4,b,Whittle,1995,The Lancet,Chronic HBV carriers,"Children, young adults, adults",1974-1992,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,NR,No,No,NR,NR,KM cohort of chronic carriers,NA,1993,35,44,NR,NA,NR,NA,NR,Mixed,NR,0.14,NR,NR,22,NA,NA
V9,4,b,Whittle,1995,The Lancet,Chronic HBV carriers,"Children, young adults, adults",1974-1992,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,NR,No,No,NR,NR,KM cohort of chronic carriers,NA,1993,44,60,NR,NA,NR,NA,NR,Mixed,NR,0,NR,NR,20,NA,NA
V11,1,x,Van der Sande,2006,Journal of Infectious Diseases,Chronic HBV carriers,"Children, young adults",1984-2003,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort (retrospective),Community-based,NR,NR,No,No,NR,NR,KM vaccine cohort,NA,2003,5,24,NR,NA,NR,NA,"37.5% 5-9 years, 12.5%  10-14, 25% 15-19, 25% 20-24",Mixed,NR,0.625,NR,NR,8,NA,NA
V11,2,x,Van der Sande,2006,Journal of Infectious Diseases,Chronic HBV carriers,"Young adults, adults",2003,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort (retrospective),Community-based,26% of 1357 lost to follow-up,NR,No,No,NR,NR,KM vaccine cohort,NA,2003,15,80,NR,NA,NR,NA,"39% 15-24 years, 27% 25-34 12% 35-49, 18% 50-69, 5% 70+",Mixed,NR,0.08,NR,NR,187,NA,maximum age assumed based on being 70+
V1,1,2,Peto,2014,BMC Infectious Diseases,HBsAg-positive general population,Young adults,2007-2008,Gambia,Central River Region (40 villages in 2 areas),Mixed,Sub-national,Cohort (retrospective),Community-based,NR,72% of 2670,No,Mixed,NR,NR,GHIS,Vaccine trial participants: 9% of the HBsAg-positives had been vaccinated. 92% of these were chronic carriers.,2007-2008,17,21,NR,NA,NR,NA,NR,Mixed,0.34,0.26,NR,NR,65,NA,sex distribution assumed to be the same in chronic carriers as in the overall sample of GHIS participants
GMB18,1,x,Mayans,1990,Lancet,General population,Children,1988,Gambia,Lower River region (7 villages),Rural,Sub-national - multiple locations,Cross-sectional,Community-based,NR,NR,No,No,NR,NR,NA,NA,1988,0.5,5,NR,NR,NR,NR,NA,Mixed,NR,0.74,NR,NR,140,NA,NA
GMB18,2,x,Mayans,1990,Lancet,General population,Adults,1988,Gambia,Lower River region (7 villages),Rural,Sub-national - multiple locations,Cross-sectional,Community-based,NR,NR,No,No,NR,NR,NA,NA,1988,15,NR,34,NR,NR,NR,NA,Mixed,0.27,0.07,NR,NR,103,NA,min and mean age assumed (only said to be adults)
